iter	Accuracy	MultiClass
0	0.7927769691	1.045839218
1	0.7961815623	1.000082423
2	0.7952311635	0.9601366121
3	0.8003440684	0.9232939262
4	0.7970116574	0.8913189766
5	0.799141032	0.8622097583
6	0.815045174	0.8348006773
7	0.8153459331	0.8112180612
8	0.8194843786	0.7881729086
9	0.8161760283	0.7676046584
10	0.8186663138	0.7484709169
11	0.8186783441	0.7314556987
12	0.8196046822	0.7147334017
13	0.8195084393	0.6997466082
14	0.8201099575	0.6859810089
15	0.820290413	0.6734119596
16	0.8203986863	0.6616727768
17	0.8204588381	0.6509845093
18	0.8202543219	0.6407447968
19	0.8220227855	0.6307555835
20	0.8216739049	0.6218215521
21	0.8216017227	0.613867538
22	0.8223716661	0.6061140446
23	0.8235025204	0.5984981203
24	0.8233701864	0.5915433448
25	0.8235386115	0.5846625155
26	0.825270984	0.578859108
27	0.8269792957	0.5728605853
28	0.8262815346	0.5674653767
29	0.82744848	0.5622979783
30	0.8275326925	0.5574979785
31	0.8280860893	0.5527166713
32	0.8285312128	0.5481665511
33	0.8286755772	0.5441492247
34	0.8289643059	0.5401631538
35	0.8289883666	0.5365334727
36	0.8293853687	0.533132227
37	0.8299267351	0.5297040811
38	0.8299628262	0.5266769542
39	0.8305643444	0.5232089807
40	0.8310214983	0.520101569
41	0.8309613464	0.5172756726
42	0.8312981966	0.5150469483
43	0.8319718971	0.5124607718
44	0.8318395631	0.5095976397
45	0.8321282918	0.5073079202
46	0.8322967169	0.505337334
47	0.8328380833	0.502966456
48	0.8333192979	0.5003760219
49	0.8342817271	0.4980798174
50	0.8344621825	0.4963472863
51	0.8347027898	0.4944720318
52	0.8344140611	0.492885012
53	0.8345343647	0.4911389625
54	0.8349794882	0.4894670754
55	0.8350396401	0.4876647421
56	0.8356050672	0.4857499328
57	0.8358937959	0.4836113056
58	0.8364111016	0.4822231834
59	0.8366396785	0.4806819674
60	0.8369885591	0.479069226
61	0.8368802858	0.4777687187
62	0.8366517089	0.4764247303
63	0.8369284073	0.4753429718
64	0.8376381988	0.4741290427
65	0.837842715	0.4724628548
66	0.8378547454	0.4714598345
67	0.8382878385	0.4703091108
68	0.8383479903	0.469344941
69	0.838600628	0.4685841526
70	0.8388773264	0.4671388916
71	0.8390938729	0.4661827976
72	0.839262298	0.4652287889
73	0.839490875	0.4638598198
74	0.8399239681	0.4624652867
75	0.8400442717	0.4612888467
76	0.8401405147	0.4602697261
77	0.8400923932	0.4595226292
78	0.8403931523	0.4583569199
79	0.8406337596	0.4575212387
80	0.840778124	0.45682529
81	0.8407901543	0.456196979
82	0.8411390349	0.4553350793
83	0.840910458	0.4546353151
84	0.8414879155	0.4533390646
85	0.8418728872	0.4522536022
86	0.8418728872	0.4516055542
87	0.8420292819	0.4510237416
88	0.8426308001	0.4498764357
89	0.8427992252	0.4493676699
90	0.8433165309	0.4483113884
91	0.8436533811	0.4474063569
92	0.8435691686	0.4467801566
93	0.8437375937	0.4461094373
94	0.8441466261	0.4451045069
95	0.8441827172	0.444657402
96	0.8443270816	0.4439358812
97	0.8446278407	0.4431357541
98	0.8450729642	0.4424257265
99	0.8452895107	0.4417716887
100	0.8452534196	0.4412325408
