iter	Passed	Remaining
0	79	39729
1	106	26424
2	132	21905
3	158	19597
4	182	18105
5	208	17195
6	234	16501
7	261	16052
8	290	15823
9	317	15574
10	343	15274
11	369	15040
12	393	14754
13	418	14530
14	444	14369
15	470	14234
16	495	14071
17	519	13913
18	544	13794
19	575	13815
20	600	13693
21	625	13579
22	653	13550
23	677	13446
24	704	13384
25	731	13329
26	757	13265
27	783	13215
28	812	13203
29	839	13148
30	862	13051
31	887	12983
32	912	12907
33	944	12939
34	977	12983
35	1012	13046
36	1047	13107
37	1079	13123
38	1107	13093
39	1134	13042
40	1162	13013
41	1187	12953
42	1211	12872
43	1239	12846
44	1266	12810
45	1291	12742
46	1314	12671
47	1346	12675
48	1374	12650
49	1402	12621
50	1423	12529
51	1452	12510
52	1485	12528
53	1515	12515
54	1543	12486
55	1570	12448
56	1602	12451
57	1645	12542
58	1674	12516
59	1699	12459
60	1728	12438
61	1752	12377
62	1776	12322
63	1801	12272
64	1827	12227
65	1854	12192
66	1879	12147
67	1902	12087
68	1926	12035
69	1958	12032
70	1982	11981
71	2006	11926
72	2028	11867
73	2054	11826
74	2082	11803
75	2109	11769
76	2135	11729
77	2158	11679
78	2187	11657
79	2214	11625
80	2237	11575
81	2261	11526
82	2284	11478
83	2307	11428
84	2333	11395
85	2365	11386
86	2392	11355
87	2416	11311
88	2448	11306
89	2473	11266
90	2500	11237
91	2526	11205
92	2549	11156
93	2571	11108
94	2599	11082
95	2620	11029
96	2645	10989
97	2667	10940
98	2692	10904
99	2718	10875
100	2741	10829
101	2765	10789
102	2790	10756
103	2816	10724
104	2838	10679
105	2864	10645
106	2890	10617
107	2912	10571
108	2933	10523
109	2967	10519
110	2986	10466
111	3010	10427
112	3037	10404
113	3060	10363
114	3083	10321
115	3105	10280
116	3126	10235
117	3151	10202
118	3175	10167
119	3202	10141
120	3230	10118
121	3254	10082
122	3274	10037
123	3300	10007
124	3322	9967
125	3343	9923
126	3377	9919
127	3398	9875
128	3420	9836
129	3446	9809
130	3471	9777
131	3490	9730
132	3514	9698
133	3540	9670
134	3561	9628
135	3584	9593
136	3607	9558
137	3629	9521
138	3652	9485
139	3680	9463
140	3701	9424
141	3724	9388
142	3748	9358
143	3771	9325
144	3793	9287
145	3819	9260
146	3839	9220
147	3862	9186
148	3887	9158
149	3913	9132
150	3937	9101
151	3966	9082
152	3988	9046
153	4011	9012
154	4031	8973
155	4055	8942
156	4080	8915
157	4102	8880
158	4129	8856
159	4157	8834
160	4184	8810
161	4208	8781
162	4231	8748
163	4252	8711
164	4275	8680
165	4295	8642
166	4317	8609
167	4341	8579
168	4379	8578
169	4457	8653
170	4541	8736
171	4648	8863
172	4738	8957
173	4799	8992
174	4841	8991
175	4868	8962
176	4896	8934
177	4925	8909
178	4954	8884
179	4975	8845
180	4998	8809
181	5021	8774
182	5040	8731
183	5063	8695
184	5087	8662
185	5110	8627
186	5130	8587
187	5155	8556
188	5176	8518
189	5196	8479
190	5224	8451
191	5247	8417
192	5269	8381
193	5292	8347
194	5316	8315
195	5336	8276
196	5361	8245
197	5396	8230
198	5416	8192
199	5441	8161
200	5463	8127
201	5485	8091
202	5507	8058
203	5530	8024
204	5552	7990
205	5577	7959
206	5600	7927
207	5622	7893
208	5642	7856
209	5665	7823
210	5690	7793
211	5712	7759
212	5741	7735
213	5761	7699
214	5783	7666
215	5808	7636
216	5831	7605
217	5853	7572
218	5874	7537
219	5901	7510
220	5925	7480
221	5965	7469
222	5989	7440
223	6011	7407
224	6033	7373
225	6054	7340
226	6079	7311
227	6101	7278
228	6122	7245
229	6148	7217
230	6175	7191
231	6204	7167
232	6227	7136
233	6251	7105
234	6273	7074
235	6301	7049
236	6322	7015
237	6345	6985
238	6385	6973
239	6413	6948
240	6441	6922
241	6461	6888
242	6480	6854
243	6507	6827
244	6531	6798
245	6552	6766
246	6572	6732
247	6594	6701
248	6619	6672
249	6640	6640
250	6667	6614
251	6694	6587
252	6716	6557
253	6742	6529
254	6764	6498
255	6789	6470
256	6812	6441
257	6835	6411
258	6863	6386
259	6889	6359
260	6912	6329
261	6937	6302
262	6974	6284
263	6995	6253
264	7017	6222
265	7037	6191
266	7061	6162
267	7085	6133
268	7112	6108
269	7139	6081
270	7164	6054
271	7188	6026
272	7212	5996
273	7237	5970
274	7258	5939
275	7280	5908
276	7305	5881
277	7331	5854
278	7353	5824
279	7387	5804
280	7412	5777
281	7433	5746
282	7457	5718
283	7476	5686
284	7496	5655
285	7523	5629
286	7549	5602
287	7571	5573
288	7594	5544
289	7622	5519
290	7644	5490
291	7669	5463
292	7691	5434
293	7717	5407
294	7741	5379
295	7761	5349
296	7781	5318
297	7803	5289
298	7828	5262
299	7858	5238
300	7879	5209
301	7903	5181
302	7925	5152
303	7948	5124
304	7981	5102
305	8005	5075
306	8028	5046
307	8048	5017
308	8072	4989
309	8103	4966
310	8127	4939
311	8154	4913
312	8176	4884
313	8198	4856
314	8218	4826
315	8239	4797
316	8260	4768
317	8283	4740
318	8308	4714
319	8332	4686
320	8356	4660
321	8396	4641
322	8415	4611
323	8438	4584
324	8459	4555
325	8480	4526
326	8505	4499
327	8529	4472
328	8550	4444
329	8577	4418
330	8603	4392
331	8626	4365
332	8653	4339
333	8677	4312
334	8699	4284
335	8722	4257
336	8741	4228
337	8764	4200
338	8785	4172
339	8805	4143
340	8830	4117
341	8850	4088
342	8873	4061
343	8894	4033
344	8914	4004
345	8938	3978
346	8960	3950
347	8995	3928
348	9014	3900
349	9044	3876
350	9067	3849
351	9092	3822
352	9111	3794
353	9138	3768
354	9159	3741
355	9184	3714
356	9205	3687
357	9228	3660
358	9248	3632
359	9268	3604
360	9292	3578
361	9319	3552
362	9342	3526
363	9367	3500
364	9407	3479
365	9426	3451
366	9447	3423
367	9467	3396
368	9493	3370
369	9521	3345
370	9545	3319
371	9563	3290
372	9584	3263
373	9607	3236
374	9627	3209
375	9647	3181
376	9670	3155
377	9690	3127
378	9711	3100
379	9732	3073
380	9759	3048
381	9781	3021
382	9802	2994
383	9822	2967
384	9844	2940
385	9867	2914
386	9888	2887
387	9912	2861
388	9936	2835
389	9960	2809
390	9998	2787
391	10019	2760
392	10039	2733
393	10060	2706
394	10081	2679
395	10104	2653
396	10127	2627
397	10151	2601
398	10172	2575
399	10196	2549
400	10231	2525
401	10251	2499
402	10273	2472
403	10296	2446
404	10320	2420
405	10339	2393
406	10359	2367
407	10385	2341
408	10416	2317
409	10443	2292
410	10473	2268
411	10498	2242
412	10521	2216
413	10544	2190
414	10567	2164
415	10590	2138
416	10615	2112
417	10633	2086
418	10654	2059
419	10675	2033
420	10705	2008
421	10726	1982
422	10751	1957
423	10772	1930
424	10791	1904
425	10816	1878
426	10842	1853
427	10862	1827
428	10886	1801
429	10908	1775
430	10932	1750
431	10958	1724
432	10994	1701
433	11021	1676
434	11045	1650
435	11069	1624
436	11091	1599
437	11110	1572
438	11136	1547
439	11158	1521
440	11180	1495
441	11201	1469
442	11222	1443
443	11244	1418
444	11263	1392
445	11286	1366
446	11311	1341
447	11334	1315
448	11360	1290
449	11385	1265
450	11417	1240
451	11444	1215
452	11464	1189
453	11486	1163
454	11506	1137
455	11528	1112
456	11560	1087
457	11588	1062
458	11615	1037
459	11647	1012
460	11666	986
461	11687	961
462	11706	935
463	11728	910
464	11753	884
465	11774	859
466	11795	833
467	11816	807
468	11839	782
469	11867	757
470	11889	732
471	11911	706
472	11936	681
473	11958	655
474	11978	630
475	12018	605
476	12039	580
477	12065	555
478	12090	530
479	12116	504
480	12135	479
481	12157	453
482	12176	428
483	12199	403
484	12220	377
485	12247	352
486	12276	327
487	12299	302
488	12319	277
489	12350	252
490	12371	226
491	12396	201
492	12436	176
493	12464	151
494	12491	126
495	12510	100
496	12535	75
497	12558	50
498	12587	25
499	12614	0
